"Var1"	"Var2"	"Correlation"	"freeze"
"B cell"	"B cell germinal centre/plasmablasts"	0.242185405294631	"Discovery"
"B cell activated"	"B cell germinal centre/plasmablasts"	0.655697317903177	"Discovery"
"B cell germinal centre/plasmablasts"	"B cell germinal centre/plasmablasts"	1	"Discovery"
"B cell memory (1)"	"B cell germinal centre/plasmablasts"	0.390854195958858	"Discovery"
"B cell memory (2)"	"B cell germinal centre/plasmablasts"	0.414342879919202	"Discovery"
"B cell naive"	"B cell germinal centre/plasmablasts"	0.38508258796541	"Discovery"
"B cell plasma IgA (1)"	"B cell germinal centre/plasmablasts"	-0.0478360378415365	"Discovery"
"B cell plasma IgA (2)"	"B cell germinal centre/plasmablasts"	0.0587035761988554	"Discovery"
"B cell plasma IgA (3)"	"B cell germinal centre/plasmablasts"	0.0616031497211663	"Discovery"
"Dendritic cell"	"B cell germinal centre/plasmablasts"	0.0524185939778556	"Discovery"
"Endocrine cell"	"B cell germinal centre/plasmablasts"	-0.123144126460924	"Discovery"
"Endothelial cell"	"B cell germinal centre/plasmablasts"	-0.0868505170497699	"Discovery"
"Enterocyte middle villus (1)"	"B cell germinal centre/plasmablasts"	-0.176216167271382	"Discovery"
"Enterocyte middle villus (2)"	"B cell germinal centre/plasmablasts"	-0.172369793352156	"Discovery"
"Enterocyte precursor crypt OLFM4+ KRT20++"	"B cell germinal centre/plasmablasts"	-0.164547688426297	"Discovery"
"Enterocyte progenitor crypt OLFM4++ KRT20+ (1)"	"B cell germinal centre/plasmablasts"	-0.135740734534365	"Discovery"
"Enterocyte progenitor crypt OLFM4++ KRT20+ (2)"	"B cell germinal centre/plasmablasts"	-0.15385332636369	"Discovery"
"Enterocyte top villus"	"B cell germinal centre/plasmablasts"	-0.16907376538654	"Discovery"
"Enterocytes BEST4"	"B cell germinal centre/plasmablasts"	-0.126454054264077	"Discovery"
"Fibroblast/Myofibroblasts"	"B cell germinal centre/plasmablasts"	-0.118027135139237	"Discovery"
"Goblet cell crypt MKI67+"	"B cell germinal centre/plasmablasts"	-0.0928059659343176	"Discovery"
"Goblet cell middle villus"	"B cell germinal centre/plasmablasts"	-0.170022820214576	"Discovery"
"Goblet cell top villus"	"B cell germinal centre/plasmablasts"	-0.168218867594745	"Discovery"
"ILC1/NKs"	"B cell germinal centre/plasmablasts"	0.0486241145220886	"Discovery"
"ILC3"	"B cell germinal centre/plasmablasts"	0.0166660002304429	"Discovery"
"Mac (1)"	"B cell germinal centre/plasmablasts"	-0.0108733297029452	"Discovery"
"Mac (2)"	"B cell germinal centre/plasmablasts"	-0.0211658145563607	"Discovery"
"Mac intermediate (1)"	"B cell germinal centre/plasmablasts"	0.0132606282106578	"Discovery"
"Mac intermediate (2)"	"B cell germinal centre/plasmablasts"	-0.0190736654396661	"Discovery"
"Mast"	"B cell germinal centre/plasmablasts"	-0.0393281021601544	"Discovery"
"Monocytes"	"B cell germinal centre/plasmablasts"	-0.0176435693342698	"Discovery"
"Paneth cell"	"B cell germinal centre/plasmablasts"	-0.16272035503171	"Discovery"
"Pericytes"	"B cell germinal centre/plasmablasts"	-0.0900941755779199	"Discovery"
"Smooth muscle cell"	"B cell germinal centre/plasmablasts"	-0.0950131101881578	"Discovery"
"Stem cell LGR5+"	"B cell germinal centre/plasmablasts"	-0.128344010849756	"Discovery"
"Stem cell MKI67+ (1)"	"B cell germinal centre/plasmablasts"	-0.0918991409128227	"Discovery"
"Stem cell MKI67+ (2)"	"B cell germinal centre/plasmablasts"	-0.082793034282356	"Discovery"
"T cell CD4 naive"	"B cell germinal centre/plasmablasts"	0.0240335219172719	"Discovery"
"T cell CD4 proliferating"	"B cell germinal centre/plasmablasts"	0.111437693917865	"Discovery"
"T cell CD4- CD8-"	"B cell germinal centre/plasmablasts"	0.00433809095380468	"Discovery"
"T cell CD4+ CXCR6+ memory"	"B cell germinal centre/plasmablasts"	0.0212291208593776	"Discovery"
"T cell CD4+ memory"	"B cell germinal centre/plasmablasts"	0.00390302479265053	"Discovery"
"T cell CD4+ PASK+ CCR7+"	"B cell germinal centre/plasmablasts"	0.0481646789527628	"Discovery"
"T cell CD4+ Treg"	"B cell germinal centre/plasmablasts"	0.0699307289024109	"Discovery"
"T cell CD8+ FGFBP2+ effector"	"B cell germinal centre/plasmablasts"	0.0280919814752761	"Discovery"
"T cell CD8+ GZMK+"	"B cell germinal centre/plasmablasts"	0.0389210009401468	"Discovery"
"T cell CD8+ tissue-resident"	"B cell germinal centre/plasmablasts"	0.027973390801795	"Discovery"
"T cell gd"	"B cell germinal centre/plasmablasts"	0.0601992854827002	"Discovery"
"Tuft cell"	"B cell germinal centre/plasmablasts"	-0.058575950899295	"Discovery"
"B cell"	"B cell memory (1)"	0.359649881756619	"Discovery"
"B cell activated"	"B cell memory (1)"	0.188988007387206	"Discovery"
"B cell germinal centre/plasmablasts"	"B cell memory (1)"	0.390854195958858	"Discovery"
"B cell memory (1)"	"B cell memory (1)"	1	"Discovery"
"B cell memory (2)"	"B cell memory (1)"	0.790446261416573	"Discovery"
"B cell naive"	"B cell memory (1)"	0.586829469405925	"Discovery"
"B cell plasma IgA (1)"	"B cell memory (1)"	-0.0594091138144935	"Discovery"
"B cell plasma IgA (2)"	"B cell memory (1)"	0.0459984145252738	"Discovery"
"B cell plasma IgA (3)"	"B cell memory (1)"	0.0657961948568976	"Discovery"
"Dendritic cell"	"B cell memory (1)"	0.0375534390046521	"Discovery"
"Endocrine cell"	"B cell memory (1)"	-0.13785575414523	"Discovery"
"Endothelial cell"	"B cell memory (1)"	-0.0754984647455547	"Discovery"
"Enterocyte middle villus (1)"	"B cell memory (1)"	-0.215662059136434	"Discovery"
"Enterocyte middle villus (2)"	"B cell memory (1)"	-0.202473303514804	"Discovery"
"Enterocyte precursor crypt OLFM4+ KRT20++"	"B cell memory (1)"	-0.224544440018512	"Discovery"
"Enterocyte progenitor crypt OLFM4++ KRT20+ (1)"	"B cell memory (1)"	-0.222772801508605	"Discovery"
"Enterocyte progenitor crypt OLFM4++ KRT20+ (2)"	"B cell memory (1)"	-0.248984787769347	"Discovery"
"Enterocyte top villus"	"B cell memory (1)"	-0.181036832290068	"Discovery"
"Enterocytes BEST4"	"B cell memory (1)"	-0.150382976009987	"Discovery"
"Fibroblast/Myofibroblasts"	"B cell memory (1)"	-0.116067140446597	"Discovery"
"Goblet cell crypt MKI67+"	"B cell memory (1)"	-0.204708395870725	"Discovery"
"Goblet cell middle villus"	"B cell memory (1)"	-0.200374744902358	"Discovery"
"Goblet cell top villus"	"B cell memory (1)"	-0.173668415765216	"Discovery"
"ILC1/NKs"	"B cell memory (1)"	0.094161761346787	"Discovery"
"ILC3"	"B cell memory (1)"	0.0639763649143014	"Discovery"
"Mac (1)"	"B cell memory (1)"	0.029102523752928	"Discovery"
"Mac (2)"	"B cell memory (1)"	-0.0218349820429625	"Discovery"
"Mac intermediate (1)"	"B cell memory (1)"	0.0371514298792286	"Discovery"
"Mac intermediate (2)"	"B cell memory (1)"	-0.00713146770128753	"Discovery"
"Mast"	"B cell memory (1)"	0.000707239935632557	"Discovery"
"Monocytes"	"B cell memory (1)"	0.00545352745108929	"Discovery"
"Paneth cell"	"B cell memory (1)"	-0.237940451872106	"Discovery"
"Pericytes"	"B cell memory (1)"	-0.0863798715116295	"Discovery"
"Smooth muscle cell"	"B cell memory (1)"	-0.0947211059518863	"Discovery"
"Stem cell LGR5+"	"B cell memory (1)"	-0.198879392970328	"Discovery"
"Stem cell MKI67+ (1)"	"B cell memory (1)"	-0.215716671545382	"Discovery"
"Stem cell MKI67+ (2)"	"B cell memory (1)"	-0.209089689963669	"Discovery"
"T cell CD4 naive"	"B cell memory (1)"	0.158892845874002	"Discovery"
"T cell CD4 proliferating"	"B cell memory (1)"	-0.0181348535833231	"Discovery"
"T cell CD4- CD8-"	"B cell memory (1)"	0.00736642965279399	"Discovery"
"T cell CD4+ CXCR6+ memory"	"B cell memory (1)"	0.073582258584456	"Discovery"
"T cell CD4+ memory"	"B cell memory (1)"	0.120216209233236	"Discovery"
"T cell CD4+ PASK+ CCR7+"	"B cell memory (1)"	0.159859889323167	"Discovery"
"T cell CD4+ Treg"	"B cell memory (1)"	0.106721644829711	"Discovery"
"T cell CD8+ FGFBP2+ effector"	"B cell memory (1)"	0.0505491632364164	"Discovery"
"T cell CD8+ GZMK+"	"B cell memory (1)"	0.114724299318724	"Discovery"
"T cell CD8+ tissue-resident"	"B cell memory (1)"	0.139734587676806	"Discovery"
"T cell gd"	"B cell memory (1)"	0.108706815498384	"Discovery"
"Tuft cell"	"B cell memory (1)"	-0.100936390573857	"Discovery"
"B cell"	"B cell memory (2)"	0.416062433764463	"Discovery"
"B cell activated"	"B cell memory (2)"	0.209630893360301	"Discovery"
"B cell germinal centre/plasmablasts"	"B cell memory (2)"	0.414342879919202	"Discovery"
"B cell memory (1)"	"B cell memory (2)"	0.790446261416573	"Discovery"
"B cell memory (2)"	"B cell memory (2)"	1	"Discovery"
"B cell naive"	"B cell memory (2)"	0.675025914911314	"Discovery"
"B cell plasma IgA (1)"	"B cell memory (2)"	-0.0405565801580444	"Discovery"
"B cell plasma IgA (2)"	"B cell memory (2)"	0.047039556375973	"Discovery"
"B cell plasma IgA (3)"	"B cell memory (2)"	0.0601067370216723	"Discovery"
"Dendritic cell"	"B cell memory (2)"	0.0551202098895409	"Discovery"
"Endocrine cell"	"B cell memory (2)"	-0.143762172476986	"Discovery"
"Endothelial cell"	"B cell memory (2)"	-0.0661827084607976	"Discovery"
"Enterocyte middle villus (1)"	"B cell memory (2)"	-0.181949391511838	"Discovery"
"Enterocyte middle villus (2)"	"B cell memory (2)"	-0.180180123727833	"Discovery"
"Enterocyte precursor crypt OLFM4+ KRT20++"	"B cell memory (2)"	-0.199259403982905	"Discovery"
"Enterocyte progenitor crypt OLFM4++ KRT20+ (1)"	"B cell memory (2)"	-0.196007489273959	"Discovery"
"Enterocyte progenitor crypt OLFM4++ KRT20+ (2)"	"B cell memory (2)"	-0.219247278291651	"Discovery"
"Enterocyte top villus"	"B cell memory (2)"	-0.15979502180761	"Discovery"
"Enterocytes BEST4"	"B cell memory (2)"	-0.132760941936318	"Discovery"
"Fibroblast/Myofibroblasts"	"B cell memory (2)"	-0.101279961428395	"Discovery"
"Goblet cell crypt MKI67+"	"B cell memory (2)"	-0.195531038005995	"Discovery"
"Goblet cell middle villus"	"B cell memory (2)"	-0.188407476251934	"Discovery"
"Goblet cell top villus"	"B cell memory (2)"	-0.158666487392223	"Discovery"
"ILC1/NKs"	"B cell memory (2)"	0.0850411385908093	"Discovery"
"ILC3"	"B cell memory (2)"	0.0570349920389099	"Discovery"
"Mac (1)"	"B cell memory (2)"	0.0120392329903435	"Discovery"
"Mac (2)"	"B cell memory (2)"	-0.00751278115598074	"Discovery"
"Mac intermediate (1)"	"B cell memory (2)"	0.0437016414997651	"Discovery"
"Mac intermediate (2)"	"B cell memory (2)"	0.00555962935538201	"Discovery"
"Mast"	"B cell memory (2)"	0.0062402379415584	"Discovery"
"Monocytes"	"B cell memory (2)"	0.0158924377065703	"Discovery"
"Paneth cell"	"B cell memory (2)"	-0.204001926241087	"Discovery"
"Pericytes"	"B cell memory (2)"	-0.0760300570089156	"Discovery"
"Smooth muscle cell"	"B cell memory (2)"	-0.0821207227416	"Discovery"
"Stem cell LGR5+"	"B cell memory (2)"	-0.176746178694276	"Discovery"
"Stem cell MKI67+ (1)"	"B cell memory (2)"	-0.197173431383441	"Discovery"
"Stem cell MKI67+ (2)"	"B cell memory (2)"	-0.189360076200317	"Discovery"
"T cell CD4 naive"	"B cell memory (2)"	0.147448446103651	"Discovery"
"T cell CD4 proliferating"	"B cell memory (2)"	-0.0125122445175998	"Discovery"
"T cell CD4- CD8-"	"B cell memory (2)"	0.0305683849434014	"Discovery"
"T cell CD4+ CXCR6+ memory"	"B cell memory (2)"	0.0592654644182403	"Discovery"
"T cell CD4+ memory"	"B cell memory (2)"	0.10412015529614	"Discovery"
"T cell CD4+ PASK+ CCR7+"	"B cell memory (2)"	0.132756084804926	"Discovery"
"T cell CD4+ Treg"	"B cell memory (2)"	0.0889508748362033	"Discovery"
"T cell CD8+ FGFBP2+ effector"	"B cell memory (2)"	0.0619511274030652	"Discovery"
"T cell CD8+ GZMK+"	"B cell memory (2)"	0.100874939279536	"Discovery"
"T cell CD8+ tissue-resident"	"B cell memory (2)"	0.108565906768909	"Discovery"
"T cell gd"	"B cell memory (2)"	0.0894682093929303	"Discovery"
"Tuft cell"	"B cell memory (2)"	-0.100508907512142	"Discovery"
"B cell"	"B cell naive"	0.31481074592453	"Discovery"
"B cell activated"	"B cell naive"	0.193491907463536	"Discovery"
"B cell germinal centre/plasmablasts"	"B cell naive"	0.38508258796541	"Discovery"
"B cell memory (1)"	"B cell naive"	0.586829469405925	"Discovery"
"B cell memory (2)"	"B cell naive"	0.675025914911314	"Discovery"
"B cell naive"	"B cell naive"	1	"Discovery"
"B cell plasma IgA (1)"	"B cell naive"	-0.0337218551948236	"Discovery"
"B cell plasma IgA (2)"	"B cell naive"	0.0231675442282013	"Discovery"
"B cell plasma IgA (3)"	"B cell naive"	0.0207052722086078	"Discovery"
"Dendritic cell"	"B cell naive"	0.0615483105320222	"Discovery"
"Endocrine cell"	"B cell naive"	-0.143501327590795	"Discovery"
"Endothelial cell"	"B cell naive"	-0.0531368674134988	"Discovery"
"Enterocyte middle villus (1)"	"B cell naive"	-0.181803529577346	"Discovery"
"Enterocyte middle villus (2)"	"B cell naive"	-0.176951013815951	"Discovery"
"Enterocyte precursor crypt OLFM4+ KRT20++"	"B cell naive"	-0.195354048568969	"Discovery"
"Enterocyte progenitor crypt OLFM4++ KRT20+ (1)"	"B cell naive"	-0.190688728088542	"Discovery"
"Enterocyte progenitor crypt OLFM4++ KRT20+ (2)"	"B cell naive"	-0.214473326242187	"Discovery"
"Enterocyte top villus"	"B cell naive"	-0.156820974354035	"Discovery"
"Enterocytes BEST4"	"B cell naive"	-0.13312113501986	"Discovery"
"Fibroblast/Myofibroblasts"	"B cell naive"	-0.104902832876644	"Discovery"
"Goblet cell crypt MKI67+"	"B cell naive"	-0.186201926136226	"Discovery"
"Goblet cell middle villus"	"B cell naive"	-0.186599722127218	"Discovery"
"Goblet cell top villus"	"B cell naive"	-0.153907164166956	"Discovery"
"ILC1/NKs"	"B cell naive"	0.108787764758019	"Discovery"
"ILC3"	"B cell naive"	0.0791356342607858	"Discovery"
"Mac (1)"	"B cell naive"	0.0077152145268522	"Discovery"
"Mac (2)"	"B cell naive"	-0.00308104093742486	"Discovery"
"Mac intermediate (1)"	"B cell naive"	0.0473926525688792	"Discovery"
"Mac intermediate (2)"	"B cell naive"	0.0188962472857752	"Discovery"
"Mast"	"B cell naive"	0.00957610321803772	"Discovery"
"Monocytes"	"B cell naive"	0.0170150540953855	"Discovery"
"Paneth cell"	"B cell naive"	-0.200374775984061	"Discovery"
"Pericytes"	"B cell naive"	-0.0716463495765975	"Discovery"
"Smooth muscle cell"	"B cell naive"	-0.08376184417471	"Discovery"
"Stem cell LGR5+"	"B cell naive"	-0.174816036421986	"Discovery"
"Stem cell MKI67+ (1)"	"B cell naive"	-0.186423608325015	"Discovery"
"Stem cell MKI67+ (2)"	"B cell naive"	-0.182183463122228	"Discovery"
"T cell CD4 naive"	"B cell naive"	0.188477694347575	"Discovery"
"T cell CD4 proliferating"	"B cell naive"	-0.00191819350917361	"Discovery"
"T cell CD4- CD8-"	"B cell naive"	0.0413327596372299	"Discovery"
"T cell CD4+ CXCR6+ memory"	"B cell naive"	0.0647656955776712	"Discovery"
"T cell CD4+ memory"	"B cell naive"	0.100221601218912	"Discovery"
"T cell CD4+ PASK+ CCR7+"	"B cell naive"	0.147115166701341	"Discovery"
"T cell CD4+ Treg"	"B cell naive"	0.0870515014759071	"Discovery"
"T cell CD8+ FGFBP2+ effector"	"B cell naive"	0.0765163149305408	"Discovery"
"T cell CD8+ GZMK+"	"B cell naive"	0.0992777260695494	"Discovery"
"T cell CD8+ tissue-resident"	"B cell naive"	0.100985468711113	"Discovery"
"T cell gd"	"B cell naive"	0.0957390688557244	"Discovery"
"Tuft cell"	"B cell naive"	-0.102476533343322	"Discovery"
"B cell"	"B cell plasma IgA (1)"	0.0393724926355298	"Discovery"
"B cell activated"	"B cell plasma IgA (1)"	-0.0641233735077075	"Discovery"
"B cell germinal centre/plasmablasts"	"B cell plasma IgA (1)"	-0.0478360378415365	"Discovery"
"B cell memory (1)"	"B cell plasma IgA (1)"	-0.0594091138144935	"Discovery"
"B cell memory (2)"	"B cell plasma IgA (1)"	-0.0405565801580444	"Discovery"
"B cell naive"	"B cell plasma IgA (1)"	-0.0337218551948236	"Discovery"
"B cell plasma IgA (1)"	"B cell plasma IgA (1)"	1	"Discovery"
"B cell plasma IgA (2)"	"B cell plasma IgA (1)"	0.495846359945863	"Discovery"
"B cell plasma IgA (3)"	"B cell plasma IgA (1)"	0.404974259695954	"Discovery"
"Dendritic cell"	"B cell plasma IgA (1)"	-0.0260644150666885	"Discovery"
"Endocrine cell"	"B cell plasma IgA (1)"	-0.0246060562362612	"Discovery"
"Endothelial cell"	"B cell plasma IgA (1)"	-0.0531158195802986	"Discovery"
"Enterocyte middle villus (1)"	"B cell plasma IgA (1)"	0.0185901189420352	"Discovery"
"Enterocyte middle villus (2)"	"B cell plasma IgA (1)"	-0.0000844093896797685	"Discovery"
"Enterocyte precursor crypt OLFM4+ KRT20++"	"B cell plasma IgA (1)"	-0.0531951547364646	"Discovery"
"Enterocyte progenitor crypt OLFM4++ KRT20+ (1)"	"B cell plasma IgA (1)"	-0.100185017742493	"Discovery"
"Enterocyte progenitor crypt OLFM4++ KRT20+ (2)"	"B cell plasma IgA (1)"	-0.0934393100168204	"Discovery"
"Enterocyte top villus"	"B cell plasma IgA (1)"	0.0259954606988913	"Discovery"
"Enterocytes BEST4"	"B cell plasma IgA (1)"	-0.0635130934577071	"Discovery"
"Fibroblast/Myofibroblasts"	"B cell plasma IgA (1)"	-0.016537567535633	"Discovery"
"Goblet cell crypt MKI67+"	"B cell plasma IgA (1)"	-0.102099079864184	"Discovery"
"Goblet cell middle villus"	"B cell plasma IgA (1)"	-0.0213053878819165	"Discovery"
"Goblet cell top villus"	"B cell plasma IgA (1)"	-0.0073860823894559	"Discovery"
"ILC1/NKs"	"B cell plasma IgA (1)"	-0.0847906482130755	"Discovery"
"ILC3"	"B cell plasma IgA (1)"	-0.0621176785313484	"Discovery"
"Mac (1)"	"B cell plasma IgA (1)"	-0.0850487131713056	"Discovery"
"Mac (2)"	"B cell plasma IgA (1)"	-0.00285076212250438	"Discovery"
"Mac intermediate (1)"	"B cell plasma IgA (1)"	-0.0931479344355269	"Discovery"
"Mac intermediate (2)"	"B cell plasma IgA (1)"	-0.031918122118011	"Discovery"
"Mast"	"B cell plasma IgA (1)"	-0.00987544803800514	"Discovery"
"Monocytes"	"B cell plasma IgA (1)"	-0.00936028948253314	"Discovery"
"Paneth cell"	"B cell plasma IgA (1)"	0.00728125328875187	"Discovery"
"Pericytes"	"B cell plasma IgA (1)"	-0.0238320106651597	"Discovery"
"Smooth muscle cell"	"B cell plasma IgA (1)"	-0.00968203785056878	"Discovery"
"Stem cell LGR5+"	"B cell plasma IgA (1)"	-0.0959064861544269	"Discovery"
"Stem cell MKI67+ (1)"	"B cell plasma IgA (1)"	-0.138271986347147	"Discovery"
"Stem cell MKI67+ (2)"	"B cell plasma IgA (1)"	-0.131319091891954	"Discovery"
"T cell CD4 naive"	"B cell plasma IgA (1)"	-0.0840252597548216	"Discovery"
"T cell CD4 proliferating"	"B cell plasma IgA (1)"	-0.095788308577572	"Discovery"
"T cell CD4- CD8-"	"B cell plasma IgA (1)"	-0.000146318925377619	"Discovery"
"T cell CD4+ CXCR6+ memory"	"B cell plasma IgA (1)"	-0.0979532473506824	"Discovery"
"T cell CD4+ memory"	"B cell plasma IgA (1)"	-0.0981160489470378	"Discovery"
"T cell CD4+ PASK+ CCR7+"	"B cell plasma IgA (1)"	-0.0871415592889694	"Discovery"
"T cell CD4+ Treg"	"B cell plasma IgA (1)"	-0.0880055216826982	"Discovery"
"T cell CD8+ FGFBP2+ effector"	"B cell plasma IgA (1)"	-0.0754582789847494	"Discovery"
"T cell CD8+ GZMK+"	"B cell plasma IgA (1)"	-0.0846472393653908	"Discovery"
"T cell CD8+ tissue-resident"	"B cell plasma IgA (1)"	-0.108025988991872	"Discovery"
"T cell gd"	"B cell plasma IgA (1)"	-0.0973405243755747	"Discovery"
