MoleculeName
UniProt:O14867 BACH1
UniProt:Q49B96 COX19
UniProt:Q8N8Q8 COX18
UniProt:Q96I36 COX14
UniProt:Q9P0S2 COX16
UniProt:Q5RI15 COX20
UniProt:Q9Y6N1 COX11
UniProt:P33527 ABCC1
UniProt:Q9H3M7 TXNIP
UniProt:Q96P20 NLRP3
UniProt:P30519 HMOX2
UniProt:Q8TCT9 HM13
UniProt:P04637 TP53
UniProt:P46527 CDKN1B
UniProt:P20248 CCNA2
UniProt:P78396 CCNA1
UniProt:P24941 CDK2
UniProt:P49959 MRE11
UniProt:Q92878 RAD50
UniProt:O60934 NBN
UniProt:Q92993 KAT5
UniProt:P24864 CCNE1
UniProt:O96020 CCNE2
UniProt:Q96L91 EP400
UniProt:Q9BSI4 TINF2
UniProt:Q9NUX5 POT1
UniProt:P54274 TERF1
UniProt:Q9NYB0 TERF2IP
UniProt:Q96AP0 ACD
UniProt:Q15554 TERF2
UniProt:Q99879 H2BC14
UniProt:Q96A08 H2BC1
UniProt:P58876 H2BC5
UniProt:Q93079 H2BC9
UniProt:Q16778 H2BC21
UniProt:P23527 H2BC17
UniProt:P57053 H2BC12L
UniProt:Q99877 H2BC15
UniProt:P62807 H2BC4
UniProt:P06899 H2BC11
UniProt:P33778 H2BC3
UniProt:O60814 H2BC12
UniProt:Q99880 H2BC13
UniProt:Q8N257 H2BC26
UniProt:Q16695 H3-4
UniProt:P0C5Y9 H2AB1
UniProt:Q71UI9 H2AZ2
UniProt:P20671 H2AC7
UniProt:P16104 H2AX
UniProt:Q9BTM1 H2AJ
UniProt:Q16777 H2AC20
UniProt:Q93077 H2AC6
UniProt:P04908 H2AC4
UniProt:Q6FI13 H2AC18
UniProt:Q99878 H2AC14
UniProt:P62805 H4C1
UniProt:P54198 HIRA
UniProt:Q9NPG3 UBN1
UniProt:Q9Y6J0 CABIN1
UniProt:Q9Y294 ASF1A
UniProt:P17096 HMGA1
UniProt:P10412 H1-4
UniProt:P16401 H1-5
UniProt:P16403 H1-2
UniProt:P16402 H1-3
UniProt:Q02539 H1-1
UniProt:P07305 H1-0
UniProt:P52926 HMGA2
UniProt:P20700 LMNB1
UniProt:P06400 RB1
UniProt:P15036 ETS2
UniProt:P41134 ID1
UniProt:P14921 ETS1
UniProt:Q14209 E2F2
UniProt:Q01094 E2F1
UniProt:O00716 E2F3
UniProt:Q14188 TFDP2
UniProt:Q14186 TFDP1
UniProt:P08047 SP1
UniProt:P50548 ERF
UniProt:Q9UL18 AGO1
UniProt:Q9HCK5 AGO4
UniProt:Q9H9G7 AGO3
UniProt:Q8NDV7 TNRC6A
UniProt:Q9UPQ9 TNRC6B
UniProt:Q9HCJ0 TNRC6C
UniProt:Q9HCE1 MOV10
UniProt:P42771 CDKN2A
UniProt:Q00987 MDM2
UniProt:O15151 MDM4
UniProt:Q00534 CDK6
UniProt:P11802 CDK4
UniProt:P55273 CDKN2D
UniProt:P42772 CDKN2B
UniProt:P42773 CDKN2C
UniProt:P17676 CEBPB
UniProt:Q9UM11 FZR1
UniProt:Q9UJX5 ANAPC4
UniProt:Q13042 CDC16
UniProt:Q8NHZ8 CDC26
UniProt:Q9H1A4 ANAPC1
UniProt:Q9UJX4 ANAPC5
UniProt:P51965 UBE2E1
UniProt:O00762 UBE2C
UniProt:Q9NYG5 ANAPC11
UniProt:Q16763 UBE2S
UniProt:Q9UJX2 CDC23
UniProt:Q96DE5 ANAPC16
UniProt:P51668 UBE2D1
UniProt:P60006 ANAPC15
UniProt:P30260 CDC27
UniProt:Q9UM13 ANAPC10
UniProt:Q9UJX3 ANAPC7
UniProt:Q9UJX6 ANAPC2
UniProt:Q13164 MAPK7
UniProt:Q15349 RPS6KA2
UniProt:Q15418 RPS6KA1
UniProt:P51812 RPS6KA3
UniProt:P05412 JUN
UniProt:P01100 FOS
UniProt:Q96KQ7 EHMT2
UniProt:Q9H9B1 EHMT1
UniProt:P84243 H3-3A
UniProt:P68431 H3C1
UniProt:Q71DI3 H3C15
UniProt:Q16270 IGFBP7
UniProt:P05231 IL6
UniProt:P19838 NFKB1
UniProt:Q04206 RELA
UniProt:O95231 VENTX
UniProt:P01583 IL1A
UniProt:P10145 CXCL8
UniProt:O75530 EED
UniProt:Q15910 EZH2
UniProt:P46734 MAP2K3
UniProt:P52564 MAP2K6
UniProt:Q9UKE5 TNIK
UniProt:O95819 MAP4K4
UniProt:Q8N4C8 MINK1
UniProt:O15054 KDM6B
UniProt:P01574 IFNB1
UniProt:P53779 MAPK10
UniProt:P45983 MAPK8
UniProt:P45984 MAPK9
UniProt:Q16539 MAPK14
UniProt:Q15759 MAPK11
UniProt:Q16644 MAPKAPK3
UniProt:Q8IW41 MAPKAPK5
UniProt:Q15022 SUZ12
UniProt:O14733 MAP2K7
UniProt:P45985 MAP2K4
UniProt:P35226 BMI1
UniProt:Q96GD3-2 SCMH1
UniProt:Q99496 RNF2
UniProt:Q06587 RING1
UniProt:P78364 PHC1
UniProt:Q8NDX5 PHC3
UniProt:Q8IXK0 PHC2
UniProt:Q14781 CBX2
UniProt:Q9HC52 CBX8
UniProt:O00257 CBX4
UniProt:O95503 CBX6
UniProt:Q16576 RBBP7
UniProt:Q09028 RBBP4
UniProt:Q99683 MAP3K5
UniProt:P04150 NR3C1
UniProt:Q8WW22 DNAJA4
UniProt:P31689 DNAJA1
UniProt:O60884 DNAJA2
UniProt:P31948 STIP1
UniProt:P08235 NR3C2
UniProt:P06401 PGR
UniProt:P10275 AR
UniProt:Q9BUF5 TUBB6
UniProt:Q13885 TUBB2A
UniProt:P68371 TUBB4B
UniProt:Q9H4B7 TUBB1
UniProt:Q13509 TUBB3
UniProt:Q9BVA1 TUBB2B
UniProt:Q3ZCM7 TUBB8
UniProt:P04350 TUBB4A
UniProt:A6NNZ2 TUBB8B
UniProt:Q9NY65 TUBA8
UniProt:Q9H853 TUBA4B
UniProt:A6NHL2 TUBAL3
UniProt:Q6PEY2 TUBA3E
UniProt:P68363 TUBA1B
UniProt:Q71U36 TUBA1A
UniProt:Q9BQE3 TUBA1C
UniProt:P0DPH7 TUBA3C
UniProt:P0DPH8 TUBA3D
UniProt:P68366 TUBA4A
UniProt:Q13409 DYNC1I2
UniProt:O14576 DYNC1I1
UniProt:Q14204 DYNC1H1
UniProt:Q9Y6G9 DYNC1LI1
UniProt:O43237 DYNC1LI2
UniProt:P63167 DYNLL1
UniProt:Q96FJ2 DYNLL2
UniProt:Q9UJW0 DCTN4
UniProt:O00399 DCTN6
UniProt:Q9BTE1 DCTN5
UniProt:Q9NZ32 ACTR10
UniProt:P61163 ACTR1A
UniProt:Q96KX2 CAPZA3
UniProt:P47756 CAPZB
UniProt:P47755 CAPZA2
UniProt:P52907 CAPZA1
UniProt:Q13561 DCTN2
UniProt:O75935 DCTN3
UniProt:Q14203 DCTN1
UniProt:Q13451 FKBP5
UniProt:Q14703 MBTPS1
UniProt:Q96BA8 CREB3L1
UniProt:Q8IUR6 CREBRF
UniProt:O43889 CREB3
UniProt:Q8TEY5 CREB3L4
UniProt:Q68CJ9 CREB3L3
UniProt:Q70SY1 CREB3L2
UniProt:O43462 MBTPS2
UniProt:Q9H295 DCSTAMP
UniProt:Q9NZJ5 EIF2AK3
UniProt:P20042 EIF2S2
UniProt:P41091 EIF2S3
UniProt:P05198 EIF2S1
UniProt:Q9NQT5 EXOSC3
UniProt:Q9Y3B2 EXOSC1
UniProt:Q06265 EXOSC9
UniProt:Q5RKV6 EXOSC6
UniProt:Q9NQT4 EXOSC5
UniProt:Q15024 EXOSC7
UniProt:Q9NPD3 EXOSC4
UniProt:Q96B26 EXOSC8
UniProt:Q9Y2L1 DIS3
UniProt:Q13868 EXOSC2
UniProt:Q92945 KHSRP
UniProt:Q8IU60 DCP2
UniProt:O95453 PARN
UniProt:P08243 ASNS
UniProt:P53567 CEBPG
UniProt:P08833 IGFBP1
UniProt:P35638 DDIT3
UniProt:P23511 NFYA
UniProt:P25208 NFYB
UniProt:Q13952 NFYC
UniProt:P18850 ATF6
UniProt:P13500 CCL2
UniProt:Q15011 HERPUD1
UniProt:P18847 ATF3
UniProt:O75460 ERN1
UniProt:P17861-2 XBP1
UniProt:P35611 ADD1
UniProt:O95070 YIF1A
UniProt:Q9Y490 TLN1
UniProt:O14773 TPP1
UniProt:P08240 SRPRA
UniProt:Q9UBS4 DNAJB11
UniProt:Q86TM6 SYVN1
UniProt:O43909 EXTL3
UniProt:Q9HCU5 PREB
UniProt:Q92935 EXTL1
UniProt:Q93075 TATDN2
UniProt:Q13217 DNAJC3
UniProt:Q9P0U4 CXXC1
UniProt:Q06210 GFPT1
UniProt:O14653 GOSR2
UniProt:Q92611 EDEM1
UniProt:P43307 SSR1
UniProt:Q969H8 MYDGF
UniProt:Q9Y6X1 SERP1
UniProt:Q15173 PPP2R5B
UniProt:Q5MNZ9 WIPI1
UniProt:P0DMM9 SULT1A3
UniProt:O76024 WFS1
UniProt:Q96FC9 DDX11
UniProt:P49840 GSK3A
UniProt:P51858 HDGF
UniProt:Q9BQ90 KLHDC3
UniProt:Q9NWM8 FKBP14
UniProt:Q9Y5M8 SRPRB
UniProt:Q9UBS3 DNAJB9
UniProt:P61421 ATP6V0D1
UniProt:Q9H2G4 TSPYL2
UniProt:Q13105 ZBTB17
UniProt:Q14554 PDIA5
UniProt:Q14999 CUL7
UniProt:O43731 KDELR3
UniProt:O94979 SEC31A
UniProt:P49748 ACADVL
UniProt:P29353 SHC1
UniProt:P0C869 PLA2G4B
UniProt:Q9UBQ6 EXTL2
UniProt:P02545 LMNA
UniProt:Q8N6T3 ARFGAP1
UniProt:Q9Y4L1 HYOU1
UniProt:O14595 CTDSP2
UniProt:Q15084 PDIA6
UniProt:P14625 HSP90B1
UniProt:P27797 CALR
UniProt:Q13617 CUL2
UniProt:Q15369 ELOC
UniProt:Q15370 ELOB
UniProt:P40337 VHL
UniProt:Q9GZT9 EGLN1
UniProt:Q9H6Z9 EGLN3
UniProt:A6NIX2 WTIP
UniProt:Q96IF1 AJUBA
UniProt:Q9UGP4 LIMD1
UniProt:Q99814 EPAS1
UniProt:Q16665 HIF1A
UniProt:Q9Y2N7 HIF3A
UniProt:P61077 UBE2D3
UniProt:P62837 UBE2D2
UniProt:Q96KS0 EGLN2
UniProt:Q9NWT6 HIF1AN
UniProt:Q9Y241 HIGD1A
UniProt:P27540 ARNT
UniProt:Q9Y2N7-1 HIF3A
UniProt:Q99967 CITED2
UniProt:Q16790 CA9
UniProt:P01588 EPO
UniProt:P15692 VEGFA
UniProt:Q9BQI3 EIF2AK1
UniProt:Q9Y2D1 ATF5
UniProt:O75807 PPP1R15A
UniProt:Q9BUX1 CHAC1
UniProt:Q96RU7 TRIB3
UniProt:Q13322 GRB10
UniProt:Q92616 GCN1
UniProt:P47914 RPL29
UniProt:P46779 RPL28
UniProt:P46776 RPL27A
UniProt:P61353 RPL27
UniProt:Q92901 RPL3L
UniProt:P39023 RPL3
UniProt:P83731 RPL24
UniProt:Q96L21 RPL10L
UniProt:P27635 RPL10
UniProt:P62750 RPL23A
UniProt:P62829 RPL23
UniProt:P46778 RPL21
UniProt:P84098 RPL19
UniProt:Q6P5R6 RPL22L1
UniProt:P35268 RPL22
UniProt:Q02543 RPL18A
UniProt:Q07020 RPL18
UniProt:P18621 RPL17
UniProt:P61313 RPL15
UniProt:P50914 RPL14
UniProt:P40429 RPL13A
UniProt:Q9UNX3 RPL26L1
UniProt:P61254 RPL26
UniProt:P26373 RPL13
UniProt:P30050 RPL12
UniProt:P62913 RPL11
UniProt:P62906 RPL10A
UniProt:Q969Q0 RPL36AL
UniProt:P83881 RPL36A
UniProt:P05387 RPLP2
UniProt:P05386 RPLP1
UniProt:P05388 RPLP0
UniProt:Q96EH5 RPL39L
UniProt:P62891 RPL39
UniProt:P32969 RPL9
UniProt:P62917 RPL8
UniProt:P62424 RPL7A
UniProt:P18124 RPL7
UniProt:Q02878 RPL6
UniProt:P46777 RPL5
UniProt:P62945 RPL41
UniProt:P36578 RPL4
UniProt:P63173 RPL38
UniProt:P61513 RPL37A
UniProt:P61927 RPL37
UniProt:Q9Y3U8 RPL36
UniProt:P18077 RPL35A
UniProt:P42766 RPL35
UniProt:P49207 RPL34
UniProt:P62910 RPL32
UniProt:P62899 RPL31
UniProt:P62888 RPL30
UniProt:P62081 RPS7
UniProt:P62753 RPS6
UniProt:P46782 RPS5
UniProt:P61247 RPS3A
UniProt:P62861 FAU
UniProt:P23396 RPS3
UniProt:P62273 RPS29
UniProt:P62857 RPS28
UniProt:Q8TD47 RPS4Y2
UniProt:P62701 RPS4X
UniProt:P22090 RPS4Y1
UniProt:P62854 RPS26
UniProt:P62851 RPS25
UniProt:P62847 RPS24
UniProt:Q71UM5 RPS27L
UniProt:P42677 RPS27
UniProt:P62266 RPS23
UniProt:P63220 RPS21
UniProt:P60866 RPS20
UniProt:P15880 RPS2
UniProt:P62244 RPS15A
UniProt:P39019 RPS19
UniProt:P62269 RPS18
UniProt:P08708 RPS17
UniProt:P62249 RPS16
UniProt:P62841 RPS15
UniProt:P62263 RPS14
UniProt:P62277 RPS13
UniProt:P25398 RPS12
UniProt:P62280 RPS11
UniProt:P08865 RPSA
UniProt:P46783 RPS10
UniProt:P46781 RPS9
UniProt:P62241 RPS8
UniProt:Q9P2K8 EIF2AK4
UniProt:Q9P2X3 IMPACT
UniProt:Q8WTW4 NPRL2
UniProt:Q12980 NPRL3
UniProt:O75140 DEPDC5
UniProt:Q5T011 SZT2
UniProt:Q969R8 ITFG2
UniProt:Q96MD2 KICS2
UniProt:Q9Y664 KPTN
UniProt:Q96S15 WDR24
UniProt:Q96EE3 SEH1L
UniProt:Q9NXC5 MIOS
UniProt:Q6PJI9 WDR59
UniProt:A6NHX0 CASTOR2
UniProt:Q8WTX7 CASTOR1
UniProt:O15342 ATP6V0E1
UniProt:Q8NHE4 ATP6V0E2
UniProt:Q99437 ATP6V0B
UniProt:P27449 ATP6V0C
UniProt:Q8N8Y2 ATP6V0D2
UniProt:Q13488 TCIRG1
UniProt:Q16864 ATP6V1F
UniProt:Q9Y5K8 ATP6V1D
UniProt:Q9UI12 ATP6V1H
UniProt:Q8NEY4 ATP6V1C2
UniProt:P21283 ATP6V1C1
UniProt:P36543 ATP6V1E1
UniProt:Q96A05 ATP6V1E2
UniProt:Q96LB4 ATP6V1G3
UniProt:O95670 ATP6V1G2
UniProt:O75348 ATP6V1G1
UniProt:P15313 ATP6V1B1
UniProt:P21281 ATP6V1B2
UniProt:P38606 ATP6V1A
UniProt:O43504 LAMTOR5
UniProt:Q6IAA8 LAMTOR1
UniProt:Q9Y2Q5 LAMTOR2
UniProt:Q9UHA4 LAMTOR3
UniProt:Q0VGL1 LAMTOR4
UniProt:Q9HB90 RRAGC
UniProt:Q9NQL2 RRAGD
UniProt:Q7L523 RRAGA
UniProt:Q5VZM2 RRAGB
UniProt:Q8NFG4 FLCN
UniProt:Q8TF40 FNIP1
UniProt:Q9P278 FNIP2
UniProt:Q1RMZ1 BMT2
UniProt:Q8NBW4 SLC38A9
UniProt:Q15382 RHEB
UniProt:Q9P0V3 SH3BP4
UniProt:P04731 MT1A
UniProt:P47944 MT4
UniProt:P07438 MT1B
UniProt:P02795 MT2A
UniProt:P25713 MT3
UniProt:P04732 MT1E
UniProt:P80294 MT1H
UniProt:P04733 MT1F
UniProt:Q8N339 MT1M
UniProt:P13640 MT1G
UniProt:P80297 MT1X
UniProt:P21291 CSRP1
UniProt:Q14872 MTF1
UniProt:Q16143 SNCB
ENSEMBL:ENSG00000126368 NR1D1
ENSEMBL:ENSG00000134852 CLOCK
ENSEMBL:ENSG00000100292 HMOX1
ENSEMBL:ENSG00000170485 NPAS2
ENSEMBL:ENSG00000109189 PPARGC1A
ENSEMBL:ENSG00000133794 ARNTL
ENSEMBL:ENSG00000105993 DNAJB6
ENSEMBL:ENSG00000132002 DNAJB1
ENSEMBL:ENSG00000173110 HSPA6
ENSEMBL:ENSG00000149257 SERPINH1
ENSEMBL:ENSG00000236251 HSPA1L
ENSEMBL:ENSG00000226704 HSPA1L
ENSEMBL:ENSG00000234258 HSPA1L
ENSEMBL:ENSG00000206383 HSPA1L
ENSEMBL:ENSG00000170315 UBB
ENSEMBL:ENSG00000160570 DEDD2
ENSEMBL:ENSG00000262852 HSBP2
ENSEMBL:ENSG00000107018 RLN1
ENSEMBL:ENSG00000112110 MRPL18
ENSEMBL:ENSG00000104499 GML
ENSEMBL:ENSG00000106211 HSBP1
ENSEMBL:ENSG00000234475 HSPA1A
ENSEMBL:ENSG00000232804 HSPA1B
ENSEMBL:ENSG00000231555 HSPA1B
ENSEMBL:ENSG00000204389 HSPA1A
ENSEMBL:ENSG00000224501 HSPA1B
ENSEMBL:ENSG00000235941 HSPA1A
ENSEMBL:ENSG00000215328 HSPA1A
ENSEMBL:ENSG00000237724 HSPA1A
ENSEMBL:ENSG00000212866 HSPA1B
ENSEMBL:ENSG00000204388 HSPA1B
ENSEMBL:ENSG00000146072 TNFRSF21
ENSEMBL:ENSG00000004478 FKBP4
ENSEMBL:ENSG00000120694 HSPH1
ENSEMBL:ENSG00000197565 COL4A6
ENSEMBL:ENSG00000170276 HSBP2
ENSEMBL:ENSG00000196431 CRYBA4
ENSEMBL:ENSG00000161011 SQSTM1
ENSEMBL:ENSG00000116044 NFE2L2
ENSEMBL:ENSG00000142657 PGD
ENSEMBL:ENSG00000160211 G6PD
ENSEMBL:ENSG00000177156 TALDO1
ENSEMBL:ENSG00000163931 TKT
ENSEMBL:ENSG00000138413 IDH1
ENSEMBL:ENSG00000065833 ME1
ENSEMBL:ENSG00000117450 PRDX1
ENSEMBL:ENSG00000151012 SLC7A11
ENSEMBL:ENSG00000181019 NQO1
ENSEMBL:ENSG00000104687 GSR
ENSEMBL:ENSG00000174156 GSTA3
ENSEMBL:ENSG00000023909 GCLM
ENSEMBL:ENSG00000271303 SRXN1
ENSEMBL:ENSG00000001084 GCLC
ENSEMBL:ENSG00000198431 TXNRD1
ENSEMBL:ENSG00000243955 GSTA1
ENSEMBL:ENSG00000156273 BACH1
miRBase:MI0000681 MIR155
miRBase:MI0000238 MIR196A1
miRBase:MI0000063 MIRLET7B
miRBase:MI0000064 MIRLET7C
