MoleculeName
UniProt:P01579 IFNG
ENSEMBL:ENSG00000125347 IRF1
ENSEMBL:ENSG00000128604 IRF5
ENSEMBL:ENSG00000140968 IRF8
ENSEMBL:ENSG00000126456 IRF3
ENSEMBL:ENSG00000140464 PML
ENSEMBL:ENSG00000169403 PTAFR
ENSEMBL:ENSG00000206341 HLA-H
ENSEMBL:ENSG00000204632 HLA-G
ENSEMBL:ENSG00000234745 HLA-B
ENSEMBL:ENSG00000204642 HLA-F
ENSEMBL:ENSG00000204592 HLA-E
ENSEMBL:ENSG00000206503 HLA-A
ENSEMBL:ENSG00000204525 HLA-C
ENSEMBL:ENSG00000125148 MT2A
ENSEMBL:ENSG00000067066 SP100
ENSEMBL:ENSG00000149294 NCAM1
ENSEMBL:ENSG00000026508 CD44
ENSEMBL:ENSG00000162692 VCAM1
ENSEMBL:ENSG00000090339 ICAM1
ENSEMBL:ENSG00000216490 IFI30
ENSEMBL:ENSG00000111335 OAS2
ENSEMBL:ENSG00000089127 OAS1
ENSEMBL:ENSG00000111331 OAS3
ENSEMBL:ENSG00000135114 OASL
ENSEMBL:ENSG00000154451 GBP5
ENSEMBL:ENSG00000117226 GBP3
ENSEMBL:ENSG00000183347 GBP6
ENSEMBL:ENSG00000213512 GBP7
ENSEMBL:ENSG00000162654 GBP4
ENSEMBL:ENSG00000117228 GBP1
ENSEMBL:ENSG00000162645 GBP2
ENSEMBL:ENSG00000196735 HLA-DQA1
ENSEMBL:ENSG00000231389 HLA-DPA1
ENSEMBL:ENSG00000232629 HLA-DQB2
ENSEMBL:ENSG00000196101 HLA-DRB3
ENSEMBL:ENSG00000196126 HLA-DRB1
ENSEMBL:ENSG00000204287 HLA-DRA
ENSEMBL:ENSG00000179344 HLA-DQB1
ENSEMBL:ENSG00000227357 HLA-DRB4
ENSEMBL:ENSG00000237541 HLA-DQA2
ENSEMBL:ENSG00000223865 HLA-DPB1
ENSEMBL:ENSG00000198502 HLA-DRB5
ENSEMBL:ENSG00000179583 CIITA
ENSEMBL:ENSG00000137699 TRIM29
ENSEMBL:ENSG00000104228 TRIM35
ENSEMBL:ENSG00000163462 TRIM46
ENSEMBL:ENSG00000134253 TRIM45
ENSEMBL:ENSG00000109654 TRIM2
ENSEMBL:ENSG00000204613 TRIM10
ENSEMBL:ENSG00000106785 TRIM14
ENSEMBL:ENSG00000150244 TRIM48
ENSEMBL:ENSG00000121236 TRIM6
ENSEMBL:ENSG00000162931 TRIM17
ENSEMBL:ENSG00000110171 TRIM3
ENSEMBL:ENSG00000112343 TRIM38
ENSEMBL:ENSG00000132274 TRIM22
ENSEMBL:ENSG00000204616 TRIM31
ENSEMBL:ENSG00000167333 TRIM68
ENSEMBL:ENSG00000116525 TRIM62
ENSEMBL:ENSG00000258659 TRIM34
ENSEMBL:ENSG00000234127 TRIM26
ENSEMBL:ENSG00000121060 TRIM25
ENSEMBL:ENSG00000132256 TRIM5
ENSEMBL:ENSG00000101871 MID1
ENSEMBL:ENSG00000171206 TRIM8
ENSEMBL:ENSG00000132109 TRIM21
